"scenario","year","hwp"
"2: On Farm Measures (Balanced)",2021,13038104.8009523
"2: On Farm Measures (Balanced)",2022,13030766.9472749
"2: On Farm Measures (Balanced)",2023,13025940.1874027
"2: On Farm Measures (Balanced)",2024,13060009.869059
"2: On Farm Measures (Balanced)",2025,13061899.3577781
"2: On Farm Measures (Balanced)",2026,12197985.842744
"2: On Farm Measures (Balanced)",2027,12321541.750326
"2: On Farm Measures (Balanced)",2028,12692059.2788677
"2: On Farm Measures (Balanced)",2029,12960256.9001969
"2: On Farm Measures (Balanced)",2030,13079696.4628649
"2: On Farm Measures (Balanced)",2031,13242262.6863064
"2: On Farm Measures (Balanced)",2032,13456719.2991711
"2: On Farm Measures (Balanced)",2033,13671235.3704938
"2: On Farm Measures (Balanced)",2034,13996359.0171502
"2: On Farm Measures (Balanced)",2035,13776312.8766144
"2: On Farm Measures (Balanced)",2036,12482070.9459932
"2: On Farm Measures (Balanced)",2037,12722113.3959932
"2: On Farm Measures (Balanced)",2038,12962157.3765499
"2: On Farm Measures (Balanced)",2039,14414821.1288632
"2: On Farm Measures (Balanced)",2040,14677714.064012
"2: On Farm Measures (Balanced)",2041,14753685.1171616
"2: On Farm Measures (Balanced)",2042,14996909.514569
"2: On Farm Measures (Balanced)",2043,15236913.9607161
"2: On Farm Measures (Balanced)",2044,15636885.8863446
"2: On Farm Measures (Balanced)",2045,15899080.5628957
"2: On Farm Measures (Balanced)",2046,14755989.2391542
"2: On Farm Measures (Balanced)",2047,15002295.9792234
"2: On Farm Measures (Balanced)",2048,15242486.0745622
"2: On Farm Measures (Balanced)",2049,15578834.8089158
"2: On Farm Measures (Balanced)",2050,15830251.7377215
"2: On Farm Measures (Balanced)",2051,17301700.8653337
"2: On Farm Measures (Balanced)",2052,17304214.1760094
"2: On Farm Measures (Balanced)",2053,17304214.1760094
"2: On Farm Measures (Balanced)",2054,17402830.6154745
"2: On Farm Measures (Balanced)",2055,17676991.5401936
"2: On Farm Measures (Balanced)",2056,16915230.0110192
"2: On Farm Measures (Balanced)",2057,16918154.645497
"2: On Farm Measures (Balanced)",2058,16918154.645497
"2: On Farm Measures (Balanced)",2059,21517644.4795125
"2: On Farm Measures (Balanced)",2060,21509018.0240345
"2: On Farm Measures (Balanced)",2061,21839339.9039347
"2: On Farm Measures (Balanced)",2062,21873819.7810751
"2: On Farm Measures (Balanced)",2063,21873819.7810751
"2: On Farm Measures (Balanced)",2064,22538488.1131221
"2: On Farm Measures (Balanced)",2065,22533724.7692875
"2: On Farm Measures (Balanced)",2066,19852631.8213855
"2: On Farm Measures (Balanced)",2067,19881250.6209008
"2: On Farm Measures (Balanced)",2068,19881250.6209008
"2: On Farm Measures (Balanced)",2069,19843257.1830548
"2: On Farm Measures (Balanced)",2070,20256874.6249039
"2: On Farm Measures (Balanced)",2071,20237516.390253
"2: On Farm Measures (Balanced)",2072,20447873.0185224
"2: On Farm Measures (Balanced)",2073,20447873.0185224
"2: On Farm Measures (Balanced)",2074,20420659.430974
"2: On Farm Measures (Balanced)",2075,20617457.8496474
"2: On Farm Measures (Balanced)",2076,15397803.9026826
"2: On Farm Measures (Balanced)",2077,15413919.610688
"2: On Farm Measures (Balanced)",2078,15413919.610688
"2: On Farm Measures (Balanced)",2079,18565466.0445756
"2: On Farm Measures (Balanced)",2080,20644698.9128577
"2: On Farm Measures (Balanced)",2081,20647440.4650469
"2: On Farm Measures (Balanced)",2082,20794777.7683676
"2: On Farm Measures (Balanced)",2083,20794777.7683676
"2: On Farm Measures (Balanced)",2084,20720969.679968
"2: On Farm Measures (Balanced)",2085,21339254.66485
"2: On Farm Measures (Balanced)",2086,21339749.1383005
"2: On Farm Measures (Balanced)",2087,21461536.6068924
"2: On Farm Measures (Balanced)",2088,21461536.6068924
"2: On Farm Measures (Balanced)",2089,21335899.2578152
"2: On Farm Measures (Balanced)",2090,21345827.8259323
"2: On Farm Measures (Balanced)",2091,21590304.343786
"2: On Farm Measures (Balanced)",2092,22663839.8077271
"2: On Farm Measures (Balanced)",2093,22954300.509903
"2: On Farm Measures (Balanced)",2094,22169814.7330989
"2: On Farm Measures (Balanced)",2095,21474794.6696995
"2: On Farm Measures (Balanced)",2096,21474795.7521201
"2: On Farm Measures (Balanced)",2097,21542210.7273093
"2: On Farm Measures (Balanced)",2098,21550193.5131154
"2: On Farm Measures (Balanced)",2099,18520721.2240494
"2: On Farm Measures (Balanced)",2100,18527011.1935731
"3: Balanced Pathway",2015,8313734.42168548
"3: Balanced Pathway",2016,12456478.918239
"3: Balanced Pathway",2017,12456478.918239
"3: Balanced Pathway",2018,12459326.3558453
"3: Balanced Pathway",2019,12691911.7387349
"3: Balanced Pathway",2020,13157942.7675564
"3: Balanced Pathway",2021,13038097.0009523
"3: Balanced Pathway",2022,13030751.3472749
"3: Balanced Pathway",2023,13025916.7874027
"3: Balanced Pathway",2024,13059978.669059
"3: Balanced Pathway",2025,13061860.3577781
"3: Balanced Pathway",2026,12197954.192744
"3: Balanced Pathway",2027,12321517.450326
"3: Balanced Pathway",2028,12692042.3288677
"3: Balanced Pathway",2029,12960247.3001969
"3: Balanced Pathway",2030,13079694.2128649
"3: Balanced Pathway",2031,13242277.3863064
"3: Balanced Pathway",2032,13456750.9491711
"3: Balanced Pathway",2033,13671283.9704938
"3: Balanced Pathway",2034,13996424.5671502
"3: Balanced Pathway",2035,13776395.3766144
"3: Balanced Pathway",2036,12482126.2959932
"3: Balanced Pathway",2037,12722141.5959932
"3: Balanced Pathway",2038,12962158.4265499
"3: Balanced Pathway",2039,14414795.0288632
"3: Balanced Pathway",2040,14741535.0485155
"3: Balanced Pathway",2041,14817512.4016651
"3: Balanced Pathway",2042,15060743.0990725
"3: Balanced Pathway",2043,15300753.8452196
"3: Balanced Pathway",2044,15700732.070848
"3: Balanced Pathway",2045,16063778.3534585
"3: Balanced Pathway",2046,14919906.2389442
"3: Balanced Pathway",2047,15166214.1790135
"3: Balanced Pathway",2048,15406405.4743523
"3: Balanced Pathway",2049,15742755.4087058
"3: Balanced Pathway",2050,16087566.2061713
"3: Balanced Pathway",2051,17560667.4269653
"3: Balanced Pathway",2052,17563180.737641
"3: Balanced Pathway",2053,17563180.737641
"3: Balanced Pathway",2054,17661797.1771062
"3: Balanced Pathway",2055,18033719.938861
"3: Balanced Pathway",2056,17270908.4126866
"3: Balanced Pathway",2057,17273833.0471644
"3: Balanced Pathway",2058,17273833.0471644
"3: Balanced Pathway",2059,21873322.8811798
"3: Balanced Pathway",2060,21951708.5450734
"3: Balanced Pathway",2061,22281912.9427917
"3: Balanced Pathway",2062,22316392.8199321
"3: Balanced Pathway",2063,22316392.8199321
"3: Balanced Pathway",2064,22980860.994536
"3: Balanced Pathway",2065,23081653.0480155
"3: Balanced Pathway",2066,20401261.3218862
"3: Balanced Pathway",2067,20429880.1214015
"3: Balanced Pathway",2068,20429880.1214015
"3: Balanced Pathway",2069,20392069.0492259
"3: Balanced Pathway",2070,22269836.0631917
"3: Balanced Pathway",2071,22249464.5447226
"3: Balanced Pathway",2072,22459821.172992
"3: Balanced Pathway",2073,22459821.172992
"3: Balanced Pathway",2074,22432630.3193754
"3: Balanced Pathway",2075,23552933.5955196
"3: Balanced Pathway",2076,18333889.087373
"3: Balanced Pathway",2077,18350004.7953784
"3: Balanced Pathway",2078,18350004.7953784
"3: Balanced Pathway",2079,21501554.1945615
"3: Balanced Pathway",2080,25962106.3052118
"3: Balanced Pathway",2081,25964847.857401
"3: Balanced Pathway",2082,26112185.1607218
"3: Balanced Pathway",2083,26112185.1607218
"3: Balanced Pathway",2084,26038392.3930153
"3: Balanced Pathway",2085,27301568.6141901
"3: Balanced Pathway",2086,27302063.0876406
"3: Balanced Pathway",2087,27423850.5562325
"3: Balanced Pathway",2088,27423850.5562325
"3: Balanced Pathway",2089,27298288.8221895
"3: Balanced Pathway",2090,26254843.6175213
"3: Balanced Pathway",2091,26499320.1353751
"3: Balanced Pathway",2092,27572855.5993161
"3: Balanced Pathway",2093,27902525.9015886
"3: Balanced Pathway",2094,27117941.2816027
"3: Balanced Pathway",2095,27393256.8728018
"3: Balanced Pathway",2096,27393257.9552225
"3: Balanced Pathway",2097,27460672.9304116
"3: Balanced Pathway",2098,27538580.7871707
"3: Balanced Pathway",2099,24509108.4981046
"3: Balanced Pathway",2100,20680721.6967784
"4: Widespread Engagement",2015,8313734.42168548
"4: Widespread Engagement",2016,12456478.918239
"4: Widespread Engagement",2017,12456478.918239
"4: Widespread Engagement",2018,12459326.3558453
"4: Widespread Engagement",2019,12691911.7387349
"4: Widespread Engagement",2020,13157942.7675564
"4: Widespread Engagement",2021,13031706.5509523
"4: Widespread Engagement",2022,13017970.4472749
"4: Widespread Engagement",2023,13006745.4374027
"4: Widespread Engagement",2024,13034416.869059
"4: Widespread Engagement",2025,13029908.1077781
"4: Widespread Engagement",2026,12088389.992744
"4: Widespread Engagement",2027,12134341.300326
"4: Widespread Engagement",2028,12427254.2288677
"4: Widespread Engagement",2029,12617847.2501969
"4: Widespread Engagement",2030,12659682.2128649
"4: Widespread Engagement",2031,12702277.5363064
"4: Widespread Engagement",2032,12796763.2491711
"4: Widespread Engagement",2033,12891308.4204938
"4: Widespread Engagement",2034,13096461.1671502
"4: Widespread Engagement",2035,12756444.1266144
"4: Widespread Engagement",2036,11342160.3459932
"4: Widespread Engagement",2037,11462160.9459932
"4: Widespread Engagement",2038,11582163.0765499
"4: Widespread Engagement",2039,12914784.9788632
"4: Widespread Engagement",2040,13121510.2985155
"4: Widespread Engagement",2041,13077486.9016651
"4: Widespread Engagement",2042,13200716.8490725
"4: Widespread Engagement",2043,13320726.8452196
"4: Widespread Engagement",2044,13600704.320848
"4: Widespread Engagement",2045,13889386.2768685
"4: Widespread Engagement",2046,12372000.4279451
"4: Widespread Engagement",2047,12498310.1680144
"4: Widespread Engagement",2048,12618503.2633532
"4: Widespread Engagement",2049,12834854.9977068
"4: Widespread Engagement",2050,13138980.9234596
"4: Widespread Engagement",2051,13063520.1351628
"4: Widespread Engagement",2052,13066033.4458384
"4: Widespread Engagement",2053,13066033.4458384
"4: Widespread Engagement",2054,13164649.8853036
"4: Widespread Engagement",2055,13556151.2476049
"4: Widespread Engagement",2056,11658851.0047941
"4: Widespread Engagement",2057,11661775.6392719
"4: Widespread Engagement",2058,11661775.6392719
"4: Widespread Engagement",2059,16261265.4732873
"4: Widespread Engagement",2060,16397679.7607982
"4: Widespread Engagement",2061,16727182.9367439
"4: Widespread Engagement",2062,16761662.8138843
"4: Widespread Engagement",2063,16761662.8138843
"4: Widespread Engagement",2064,17755700.3501131
"4: Widespread Engagement",2065,17882810.6772889
"4: Widespread Engagement",2066,15202418.9511596
"4: Widespread Engagement",2067,15231037.7506749
"4: Widespread Engagement",2068,15231037.7506749
"4: Widespread Engagement",2069,15192872.3256925
"4: Widespread Engagement",2070,17048525.3216616
"4: Widespread Engagement",2071,17029196.4575562
"4: Widespread Engagement",2072,17239553.0858256
"4: Widespread Engagement",2073,17239553.0858256
"4: Widespread Engagement",2074,17212698.7932431
"4: Widespread Engagement",2075,19368025.4658606
"4: Widespread Engagement",2076,17085205.7852594
"4: Widespread Engagement",2077,17101321.4932648
"4: Widespread Engagement",2078,17101321.4932648
"4: Widespread Engagement",2079,20252838.2741979
"4: Widespread Engagement",2080,24423967.5156457
"4: Widespread Engagement",2081,24426709.0678349
"4: Widespread Engagement",2082,24574046.3711556
"4: Widespread Engagement",2083,24574046.3711556
"4: Widespread Engagement",2084,24500236.8001083
"4: Widespread Engagement",2085,23244605.9578062
"4: Widespread Engagement",2086,23245100.4312567
"4: Widespread Engagement",2087,23366887.8998485
"4: Widespread Engagement",2088,23366887.8998485
"4: Widespread Engagement",2089,23241254.9987146
"4: Widespread Engagement",2090,23664877.4290706
"4: Widespread Engagement",2091,23909353.9469243
"4: Widespread Engagement",2092,24982889.4108654
