"scenario","year","gwp_t"
"2: On Farm Measures (Balanced)",2025,62.5742801212827
"2: On Farm Measures (Balanced)",2026,61.6736500662687
"2: On Farm Measures (Balanced)",2027,60.6171881237649
"2: On Farm Measures (Balanced)",2028,60.1105678320567
"2: On Farm Measures (Balanced)",2029,59.409641617631
"2: On Farm Measures (Balanced)",2030,58.7599409098685
"2: On Farm Measures (Balanced)",2031,57.8962613548679
"2: On Farm Measures (Balanced)",2032,57.4370636283262
"2: On Farm Measures (Balanced)",2033,56.9899666572411
"2: On Farm Measures (Balanced)",2034,56.3336342959702
"2: On Farm Measures (Balanced)",2035,55.7990849330809
"2: On Farm Measures (Balanced)",2036,55.2925937993456
"2: On Farm Measures (Balanced)",2037,53.5740556705629
"2: On Farm Measures (Balanced)",2038,52.7939145444184
"2: On Farm Measures (Balanced)",2039,51.6555324545033
"2: On Farm Measures (Balanced)",2040,52.0055582469333
"2: On Farm Measures (Balanced)",2041,51.8434132067311
"2: On Farm Measures (Balanced)",2042,51.2047120881613
"2: On Farm Measures (Balanced)",2043,50.6751940831794
"2: On Farm Measures (Balanced)",2044,49.840202688487
"2: On Farm Measures (Balanced)",2045,49.2991748155325
"2: On Farm Measures (Balanced)",2046,48.9642554192997
"2: On Farm Measures (Balanced)",2047,47.7123485411462
"2: On Farm Measures (Balanced)",2048,47.1919701467362
"2: On Farm Measures (Balanced)",2049,46.3700326030475
"2: On Farm Measures (Balanced)",2050,45.9698502715108
"2: On Farm Measures (Balanced)",2051,45.9260392693896
"2: On Farm Measures (Balanced)",2052,48.3344775215613
"2: On Farm Measures (Balanced)",2053,48.2298909695397
"2: On Farm Measures (Balanced)",2054,48.0384167042035
"2: On Farm Measures (Balanced)",2055,48.1797852531774
"2: On Farm Measures (Balanced)",2056,49.0582839197083
"2: On Farm Measures (Balanced)",2057,49.8316644914775
"2: On Farm Measures (Balanced)",2058,50.0275087115675
"2: On Farm Measures (Balanced)",2059,50.119350342907
"2: On Farm Measures (Balanced)",2060,53.7205852104547
"2: On Farm Measures (Balanced)",2061,54.4225995651282
"2: On Farm Measures (Balanced)",2062,55.56979100408
"2: On Farm Measures (Balanced)",2063,56.393659560204
"2: On Farm Measures (Balanced)",2064,57.1408930964042
"2: On Farm Measures (Balanced)",2065,58.9023876739045
"2: On Farm Measures (Balanced)",2066,59.4282205926104
"2: On Farm Measures (Balanced)",2067,57.5913529856928
"2: On Farm Measures (Balanced)",2068,57.912645763377
"2: On Farm Measures (Balanced)",2069,58.0596566707587
"2: On Farm Measures (Balanced)",2070,58.2030376374527
"2: On Farm Measures (Balanced)",2071,58.779697295321
"2: On Farm Measures (Balanced)",2072,58.9491796334457
"2: On Farm Measures (Balanced)",2073,59.1896657591861
"2: On Farm Measures (Balanced)",2074,59.2672878953565
"2: On Farm Measures (Balanced)",2075,59.4265353472633
"2: On Farm Measures (Balanced)",2076,59.8476511845478
"2: On Farm Measures (Balanced)",2077,53.3074558632081
"2: On Farm Measures (Balanced)",2078,53.1351182464981
"2: On Farm Measures (Balanced)",2079,52.7001622778536
"2: On Farm Measures (Balanced)",2080,54.6215267643255
"2: On Farm Measures (Balanced)",2081,57.4833549436746
"2: On Farm Measures (Balanced)",2082,57.4486332574011
"2: On Farm Measures (Balanced)",2083,57.9342993216228
"2: On Farm Measures (Balanced)",2084,58.3540578746345
"2: On Farm Measures (Balanced)",2085,58.7747101987549
"2: On Farm Measures (Balanced)",2086,60.4129483166577
