"scenario","year","category","kcal"
"7: NBS with organic farming",2045,"Plant-based products",42.8975584454555
"7: NBS with organic farming",2050,"Animal-based products",11.5308163641713
"7: NBS with organic farming",2050,"Plant-based products",41.2476999925818
"8: NBS extra",2015,"Animal-based products",16.3145191107946
"8: NBS extra",2015,"Plant-based products",54.3571814378221
"8: NBS extra",2020,"Animal-based products",16.2326240340619
"8: NBS extra",2020,"Plant-based products",54.1439080550709
"8: NBS extra",2025,"Animal-based products",15.6697981492615
"8: NBS extra",2025,"Plant-based products",52.1858109429216
"8: NBS extra",2030,"Animal-based products",14.9796876166403
"8: NBS extra",2030,"Plant-based products",50.3763414428217
"8: NBS extra",2035,"Animal-based products",14.1689008288713
"8: NBS extra",2035,"Plant-based products",49.182019558703
"8: NBS extra",2040,"Animal-based products",13.2595342601565
"8: NBS extra",2040,"Plant-based products",47.7551374133266
"8: NBS extra",2045,"Animal-based products",12.4547726021621
"8: NBS extra",2045,"Plant-based products",46.2610578326591
"8: NBS extra",2050,"Animal-based products",11.6067738359437
"8: NBS extra",2050,"Plant-based products",44.3815787218281
