"scenario","lcm_from","lcm_to","area"
"6: NBS with biomass crops","Arable and horticulture","Arable and horticulture (agroforestry)",329892.9375
"6: NBS with biomass crops","Arable and horticulture","Biomass crops",234989.5
"6: NBS with biomass crops","Arable and horticulture","Bog",11203.5
"6: NBS with biomass crops","Arable and horticulture","Broadleaved woodland",261398.1875
"6: NBS with biomass crops","Arable and horticulture","Coniferous woodland",203850
"6: NBS with biomass crops","Arable and horticulture","Fen, marsh & swamp",80535.9375
"6: NBS with biomass crops","Arable and horticulture","Paludiculture",91425.5
"6: NBS with biomass crops","Arable and horticulture","Saltmarsh",5726.25
"6: NBS with biomass crops","Arable and horticulture","Semi-natural grassland",59907.3125
"6: NBS with biomass crops","Arable and horticulture","Urban and suburban",151162.5625
"6: NBS with biomass crops","Bog","Bog",1081821.6875
"6: NBS with biomass crops","Bog","Broadleaved woodland",2538.75
"6: NBS with biomass crops","Bog","Coniferous woodland",5018
"6: NBS with biomass crops","Bog","Saltmarsh",6.5
"6: NBS with biomass crops","Broadleaved woodland","Broadleaved woodland",1614366.9375
"6: NBS with biomass crops","Broadleaved woodland","Saltmarsh",539.25
"6: NBS with biomass crops","Coastal","Coastal",388057.875
"6: NBS with biomass crops","Coniferous woodland","Bog",219943.0625
"6: NBS with biomass crops","Coniferous woodland","Coniferous woodland",1517586.4375
"6: NBS with biomass crops","Coniferous woodland","Fen, marsh & swamp",29326.6875
"6: NBS with biomass crops","Coniferous woodland","Saltmarsh",112.75
"6: NBS with biomass crops","Fen, marsh & swamp","Broadleaved woodland",159.625
"6: NBS with biomass crops","Fen, marsh & swamp","Coniferous woodland",86.1875
"6: NBS with biomass crops","Fen, marsh & swamp","Fen, marsh & swamp",165653.3125
"6: NBS with biomass crops","Fen, marsh & swamp","Saltmarsh",735.5
"6: NBS with biomass crops","Freshwater","Freshwater",311788.125
"6: NBS with biomass crops","Freshwater","Saltmarsh",374.9375
"6: NBS with biomass crops","Heather","Bog",995020.5625
"6: NBS with biomass crops","Heather","Broadleaved woodland",37332.5625
"6: NBS with biomass crops","Heather","Coniferous woodland",56819.3125
"6: NBS with biomass crops","Heather","Fen, marsh & swamp",130636.4375
"6: NBS with biomass crops","Heather","Heather",1441377.875
"6: NBS with biomass crops","Heather","Saltmarsh",216.3125
"6: NBS with biomass crops","Heather","Semi-natural wood pasture",33325.9375
"6: NBS with biomass crops","Improved grassland","Bog",57357.125
"6: NBS with biomass crops","Improved grassland","Broadleaved woodland",883704.25
"6: NBS with biomass crops","Improved grassland","Coniferous woodland",569432.8125
"6: NBS with biomass crops","Improved grassland","Fen, marsh & swamp",42481.375
"6: NBS with biomass crops","Improved grassland","Improved grassland",4017627.5
"6: NBS with biomass crops","Improved grassland","Improved grassland (agroforestry)",749889.1875
"6: NBS with biomass crops","Improved grassland","Paludiculture",33570.875
"6: NBS with biomass crops","Improved grassland","Saltmarsh",1862.1875
"6: NBS with biomass crops","Improved grassland","Semi-natural grassland",119828.625
"6: NBS with biomass crops","Improved grassland","Semi-natural wood pasture",219192.4375
"6: NBS with biomass crops","Improved grassland","Urban and suburban",309870.625
"6: NBS with biomass crops","Inland rock","Inland rock",126968.6875
"6: NBS with biomass crops","Inland rock","Saltmarsh",0.0625
"6: NBS with biomass crops","Saltmarsh","Saltmarsh",71372.875
"6: NBS with biomass crops","Semi-natural grassland","Bog",310264
"6: NBS with biomass crops","Semi-natural grassland","Broadleaved woodland",129071.625
"6: NBS with biomass crops","Semi-natural grassland","Coniferous woodland",134705.0625
"6: NBS with biomass crops","Semi-natural grassland","Fen, marsh & swamp",74371.1875
"6: NBS with biomass crops","Semi-natural grassland","Saltmarsh",4630.75
"6: NBS with biomass crops","Semi-natural grassland","Semi-natural grassland",1506650.4375
"6: NBS with biomass crops","Semi-natural grassland","Semi-natural wood pasture",77303.625
"6: NBS with biomass crops","Urban and suburban","Saltmarsh",165
"6: NBS with biomass crops","Urban and suburban","Urban and suburban",1705636.625
"7: NBS with organic farming","Arable and horticulture","Arable and horticulture",3260944.5
"7: NBS with organic farming","Arable and horticulture","Arable and horticulture (agroforestry)",287987.4375
"7: NBS with organic farming","Arable and horticulture","Arable and horticulture (organic and agroforestry)",369.125
"7: NBS with organic farming","Arable and horticulture","Arable and horticulture (organic)",1262254
"7: NBS with organic farming","Arable and horticulture","Bog",10927.6875
"7: NBS with organic farming","Arable and horticulture","Broadleaved woodland",210314.3125
"7: NBS with organic farming","Arable and horticulture","Coniferous woodland",161075.6875
"7: NBS with organic farming","Arable and horticulture","Fen, marsh & swamp",74960.5
"7: NBS with organic farming","Arable and horticulture","Paludiculture",85710.0625
"7: NBS with organic farming","Arable and horticulture","Saltmarsh",4972.1875
"7: NBS with organic farming","Arable and horticulture","Semi-natural grassland",52383.6875
"7: NBS with organic farming","Arable and horticulture","Urban and suburban",134612.375
"7: NBS with organic farming","Arable and horticulture (agroforestry)","Arable and horticulture (organic and agroforestry)",459.0625
"7: NBS with organic farming","Arable and horticulture (organic)","Arable and horticulture (organic and agroforestry)",41536.375
"7: NBS with organic farming","Arable and horticulture (organic)","Bog",275.8125
"7: NBS with organic farming","Arable and horticulture (organic)","Broadleaved woodland",51083.875
"7: NBS with organic farming","Arable and horticulture (organic)","Coniferous woodland",42774.3125
"7: NBS with organic farming","Arable and horticulture (organic)","Fen, marsh & swamp",5575.4375
"7: NBS with organic farming","Arable and horticulture (organic)","Paludiculture",5715.4375
"7: NBS with organic farming","Arable and horticulture (organic)","Saltmarsh",754.0625
"7: NBS with organic farming","Arable and horticulture (organic)","Semi-natural grassland",7523.625
"7: NBS with organic farming","Arable and horticulture (organic)","Urban and suburban",16550.1875
"7: NBS with organic farming","Bog","Bog",1081821.6875
"7: NBS with organic farming","Bog","Broadleaved woodland",2538.75
"7: NBS with organic farming","Bog","Coniferous woodland",5018
"7: NBS with organic farming","Bog","Saltmarsh",6.5
"7: NBS with organic farming","Broadleaved woodland","Broadleaved woodland",1614366.9375
"7: NBS with organic farming","Broadleaved woodland","Saltmarsh",539.25
"7: NBS with organic farming","Coastal","Coastal",388057.875
"7: NBS with organic farming","Coniferous woodland","Bog",219943.0625
"7: NBS with organic farming","Coniferous woodland","Coniferous woodland",1517586.4375
"7: NBS with organic farming","Coniferous woodland","Fen, marsh & swamp",29326.6875
"7: NBS with organic farming","Coniferous woodland","Saltmarsh",112.75
"7: NBS with organic farming","Fen, marsh & swamp","Broadleaved woodland",159.625
"7: NBS with organic farming","Fen, marsh & swamp","Coniferous woodland",86.1875
"7: NBS with organic farming","Fen, marsh & swamp","Fen, marsh & swamp",165653.3125
"7: NBS with organic farming","Fen, marsh & swamp","Saltmarsh",735.5
"7: NBS with organic farming","Freshwater","Freshwater",311788.125
"7: NBS with organic farming","Freshwater","Saltmarsh",374.9375
"7: NBS with organic farming","Heather","Bog",995020.5625
"7: NBS with organic farming","Heather","Broadleaved woodland",37332.5625
"7: NBS with organic farming","Heather","Coniferous woodland",56819.3125
"7: NBS with organic farming","Heather","Fen, marsh & swamp",130636.4375
"7: NBS with organic farming","Heather","Heather",1441377.875
"7: NBS with organic farming","Heather","Saltmarsh",216.3125
"7: NBS with organic farming","Heather","Semi-natural wood pasture",33325.9375
"7: NBS with organic farming","Improved grassland","Bog",53892.75
"7: NBS with organic farming","Improved grassland","Broadleaved woodland",741482
"7: NBS with organic farming","Improved grassland","Coniferous woodland",482453.75
"7: NBS with organic farming","Improved grassland","Fen, marsh & swamp",39672.125
"7: NBS with organic farming","Improved grassland","Improved grassland",3016289
"7: NBS with organic farming","Improved grassland","Improved grassland (agroforestry)",641378.375
"7: NBS with organic farming","Improved grassland","Improved grassland (organic and agroforestry)",7473.125
"7: NBS with organic farming","Improved grassland","Improved grassland (organic)",1421137.375
